"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Itinerario";"Grupo";"Semestre";"Titulacion"
"Lunes";"Ingeniería Térmica";"Teoría y Problemas";"08:30";"09:30";"M301-M306";NA;"DM406";1;"56DM"
"Lunes";"Metrología y Calidad";"Laboratorio";"09:30";"13:30";"M401-M406";NA;"DM406";1;"56DM"
"Lunes";"Metrología y Calidad";"Laboratorio";"09:30";"13:30";"M401-M406";NA;"DM406";1;"56DM"
"Lunes";"Ingeniería Térmica";"Laboratorio";"09:30";"13:30";"M301-M306";NA;"DM406";1;"56DM"
"Lunes";"Metrología y Calidad";"Teoría y Problemas";"15:00";"17:00";"M401-M406";NA;"DM406";1;"56DM"
"Lunes";"Materiales No Metálicos";"Laboratorio";"18:30";"20:30";"D307";NA;"DM406";1;"56DM"
"Martes";"Oficina Técnica";"Acciones Cooperativas";"09:30";"11:30";"DM401";NA;"DM406";1;"56DM"
"Martes";"Electrónica";"Teoría y Problemas";"12:30";"13:30";"M301-M306";NA;"DM406";1;"56DM"
"Martes";"Estructuras de Hormigón";"Teoría y Problemas";"14:30";"16:30";"M401-M406";NA;"DM406";1;"56DM"
"Martes";"Sistemas Constructivos y Ejecución de Obras";"Teoría y Problemas";"17:00";"18:00";"M401-M406";NA;"DM406";1;"56DM"
"Martes";"Ingeniería Térmica";"Teoría y Problemas";"19:00";"21:00";"M301-M306";NA;"DM406";1;"56DM"
"Miércoles";"Ingeniería de Fabricación";"Laboratorio";"09:30";"13:30";"M401-M406";NA;"DM406";1;"56DM"
"Miércoles";"Oficina Técnica";"Teoría y Problemas";"14:30";"16:30";"M401-M406";NA;"DM406";1;"56DM"
"Miércoles";"Sistemas Constructivos y Ejecución de Obras";"Teoría y Problemas";"19:30";"21:30";"M401-M406";NA;"DM406";1;"56DM"
"Jueves";"Ingeniería de Fabricación";"Laboratorio";"09:30";"13:30";"M401-M406";NA;"DM406";1;"56DM"
"Jueves";"Ingeniería de Fabricación";"Teoría y Problemas";"15:00";"17:00";"M401-M406";NA;"DM406";1;"56DM"
"Jueves";"Ingeniería de Fabricación";"Teoría y Problemas";"17:30";"18:30";"M401-M406";NA;"DM406";1;"56DM"
"Jueves";"Materiales No Metálicos";"Teoría y Problemas";"18:30";"20:30";"D307";NA;"DM406";1;"56DM"
"Viernes";"Estructuras de Hormigón";"Teoría y Problemas";"08:30";"09:30";"M401-M406";NA;"DM406";1;"56DM"
"Viernes";"Electrónica";"Teoría y Problemas";"09:30";"11:30";"M301-M306";NA;"DM406";1;"56DM"
"Viernes";"Estructuras de Hormigón";"Laboratorio";"11:30";"13:30";"M401-M406";NA;"DM406";1;"56DM"
"Viernes";"Electrónica";"Laboratorio";"15:00";"17:00";"D307";NA;"DM406";1;"56DM"
