"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Comentarios";"Grupo";"Semestre";"Titulacion"
"Lunes";"Diseño y Fabricación Basado en Montaje";"Teoría y Problemas";"10:30";"14:00";"A07";NA;"MD101";1;"56AC"
"Martes";"Conocimientos Avanzados de Materiales y Degradación";"Teoría y Problemas";"08:30";"11:00";"A07";NA;"MD101";1;"56AC"
"Martes";"Diseño y Modelado de Productos por Elementos Finitos (Cae)";"Teoría y Problemas";"11:00";"14:00";"A07";NA;"MD101";1;"56AC"
"Miércoles";"Digitalización Tridimensional";"Teoría y Problemas";"08:30";"12:00";"A07";NA;"MD101";1;"56AC"
"Miércoles";"Gestión de la Innovación y Marketing";"Teoría y Problemas";"12:00";"14:00";"A07";NA;"MD101";1;"56AC"
"Jueves";"Metodologia del Diseño y Desarrollo de Productos";"Teoría y Problemas";"09:30";"12:00";"A07";NA;"MD101";1;"56AC"
"Jueves";"Selección de Materiales y Procesos";"Teoría y Problemas";"12:00";"14:00";"A07";NA;"MD101";1;"56AC"
"Viernes";"Certificación y Calificación de Productos";"Teoría y Problemas";"08:30";"10:00";"A07";NA;"MD101";1;"56AC"
"Viernes";"Diseño Avanzado de Sólidos y Superficies";"Teoría y Problemas";"10:00";"13:00";"EG3";NA;"MD101";1;"56AC"
