"Asignatura";"Titulacion";"Dia";"HoraInicio";"Duracion";"Aula";"Tipo";"HoraFinal";"Grupo";"Semestre"
"Fundamentos de Energías Renovables";"05BK";"Por definir";"0:00";"1";NA;"Teoría y Problemas";"01:00";"05BK";1
"Almacenamiento de Energía";"05BK";"Por definir";"0:00";"1";NA;"Teoría y Problemas";"01:00";"05BK";1
"Temas Avanzados de Energías Renovables";"05BK";"Por definir";"0:00";"1";NA;"Teoría y Problemas";"01:00";"05BK";1
