"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"Automatización Industrial";"Laboratorio";"09:30";"13:30";"Online";"A309";2;"56IA"
"Lunes";"Informática Industrial y Comunicaciones";"Laboratorio";"09:30";"13:30";"Online";"A309";2;"56IA"
"Lunes";"Electrónica de Potencia";"Teoría y Problemas";"15:00";"17:00";"Online";"A309";2;"56IA"
"Lunes";"Robótica";"Teoría y Problemas";"17:30";"19:30";"Online";"A309";2;"56IA"
"Martes";"Robótica";"Laboratorio";"09:30";"13:30";"Online";"A309";2;"56IA"
"Martes";"Informática Industrial y Comunicaciones";"Laboratorio";"09:30";"13:30";"Online";"A309";2;"56IA"
"Martes";"Automatización Industrial";"Laboratorio";"09:30";"13:30";"Online";"A309";2;"56IA"
"Martes";"Robótica";"Teoría y Problemas";"15:00";"16:00";"Online";"A309";2;"56IA"
"Martes";"Instrumentación Electrónica";"Teoría y Problemas";"16:00";"17:00";"Online";"A309";2;"56IA"
"Martes";"Electrónica de Potencia";"Teoría y Problemas";"17:30";"18:30";"Online";"A309";2;"56IA"
"Miércoles";"Electrónica de Potencia";"Laboratorio";"09:30";"13:30";"Presencial/Presencial";"A309";2;"56IA"
"Miércoles";"Instrumentación Electrónica";"Laboratorio";"09:30";"13:30";"";"A309";2;"56IA"
"Miércoles";"Robótica";"Laboratorio";"09:30";"13:30";"Online /Online";"A309";2;"56IA"
"Miércoles";"Informática Industrial y Comunicaciones";"Laboratorio";"09:30";"13:30";"";"A309";2;"56IA"
"Miércoles";"Medio Ambiente";"Teoría y Problemas";"15:00";"17:30";"Online";"A309";2;"56IA"
"Miércoles";"Informática Industrial y Comunicaciones";"Teoría y Problemas";"17:30";"19:30";"Online";"A309";2;"56IA"
"Jueves";"Electrónica de Potencia";"Laboratorio";"09:30";"13:30";"Presencial/ Presencial";"A309";2;"56IA"
"Jueves";"Instrumentación Electrónica";"Laboratorio";"09:30";"13:30";"";"A309";2;"56IA"
"Jueves";"Automatización Industrial";"Laboratorio";"09:30";"13:30";"Online";"A309";2;"56IA"
"Jueves";"Automatización Industrial";"Teoría y Problemas";"15:00";"17:00";"Online";"A309";2;"56IA"
"Jueves";"Instrumentación Electrónica";"Teoría y Problemas";"17:30";"19:30";"Online";"A309";2;"56IA"
"Viernes";"Electrónica de Potencia";"Laboratorio";"09:30";"13:30";"Presencial";"A309";2;"56IA"
"Viernes";"Instrumentación Electrónica";"Laboratorio";"09:30";"13:30";"Presencial";"A309";2;"56IA"
"Viernes";"Automatización Industrial";"Teoría y Problemas";"15:00";"17:00";"Online";"A309";2;"56IA"
"Viernes";"Informática Industrial y Comunicaciones";"Teoría y Problemas";"17:30";"19:30";"Online";"A309";2;"56IA"
