"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Itinerario";"Grupo";"Semestre";"Titulacion"
"Lunes";"Conocimiento Avanzados de Materiales y Aplicaciones";"Teoría y Problemas";"16:00";"17:30";"";"";"56AB";1;"56AB"
"Lunes";"Simulación de Sistemas Mecánicos y Eléctricos";"Teoría y Problemas";"17:30";"20:30";"";"";"56AB";1;"56AB"
"Martes";"Simulación de Sistemas Mecánicos y Eléctricos";"Teoría y Problemas";"17:30";"19:00";"";"";"56AB";1;"56AB"
"Martes";"Conocimiento Avanzados de Materiales y Aplicaciones";"Teoría y Problemas";"16:00";"17:30";"";"";"56AB";1;"56AB"
"Martes";"Diseño Electromecánico de líneas I";"Teoría y Problemas";"19:00";"21:00";"";"Distribución";"56AB";1;"56AB"
"Miércoles";"Automatización";"Teoría y Problemas";"16:00";"19:00";"";"";"56AB";1;"56AB"
"Miércoles";"Sensores y Adquisición de Datos";"Teoría y Problemas";"19:00";"21:00";"";"Mecatrónica";"56AB";1;"56AB"
"Jueves";"Mecánica de los Materiales";"Teoría y Problemas";"17:00";"19:00";"";"";"56AB";1;"56AB"
"Jueves";"Seguridad en Trabajos en Instalaciones Electromecánicas";"Teoría y Problemas";"19:00";"21:00";"";"";"56AB";1;"56AB"
"Viernes";"Instrumentación y Control";"Teoría y Problemas";"17:30";"20:30";"";"";"56AB";1;"56AB"
"Viernes";"Seguridad en Trabajos en Instalaciones Electromecánicas";"Teoría y Problemas";"16:30";"17:30";"";"";"56AB";1;"56AB"

