"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Itinerario";"Grupo";"Semestre";"Titulacion"
"Lunes";"Automática";"Laboratorio";"11:30";"13:30";"";NA;"DM306";2;"56DM"
"Lunes";"Diseño de Máquinas II";"Teoría y Problemas";"15:00";"16:00";"M306";NA;"DM306";2;"56DM"
"Lunes";"Construcciones Industriales";"Teoría y Problemas";"17:30";"19:30";"M306";NA;"DM306";2;"56DM"
"Martes";"Diseño de Máquinas II";"Teoría y Problemas";"15:00";"17:00";"M306";NA;"DM306";2;"56DM"
"Martes";"Ampliación de Expresión Gráfica";"Laboratorio";"17:30";"20:30";"";NA;"DM306";2;"56DM"
"Miércoles";"Construcciones Industriales";"Laboratorio";"10:00";"11:30";"M306";NA;"DM306";2;"56DM"
"Miércoles";"Diseño de Máquinas II";"Laboratorio";"15:30";"17:30";"M301";NA;"DM306";2;"56DM"
"Miércoles";"Automática";"Teoría y Problemas";"17:30";"19:30";"M306";"";"DM306";2;"56DM"
"Jueves";"Gestión del Diseño y la Innovación";"Teoría y Problemas";"11:00";"13:00";"D307";NA;"DM306";2;"56DM"
"Jueves";"Medio Ambiente";"Teoría y Problemas";"14:30";"17:00";"D307";NA;"DM306";2;"56DM"
"Jueves";"Organización Industrial";"Teoría y Problemas";"17:30";"20:30";"M306";NA;"DM306";2;"56DM"
"Viernes";"Soldadura";"Teoría y Problemas";"10:30";"11:30";"M201";"A";"DM306";2;"56DM"
"Viernes";"Instalaciones Industriales y en Edificios I";"Laboratorio";"10:30";"14:00";"M206";"B";"DM306";2;"56DM"
"Viernes";"Soldadura";"Teoría y Problemas";"12:00";"14:00";"M201";"A";"DM306";2;"56DM"
"Viernes";"Soldadura";"Laboratorio";"15:00";"18:00";"M201";"A";"DM306";2;"56DM"
"Viernes";"Instalaciones Industriales y en Edificios I";"Teoría y Problemas";"15:00";"18:30";"M206";"B";"DM306";2;"56DM"
