"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"Estadística";"Teoría y Problemas";"09:30";"11:30";"B21, B22";"M101";2;"56IM"
"Lunes";"Informática";"Laboratorio";"12:00";"14:00";"B21";"M101";2;"56IM"
"Lunes";"Informática";"Teoría y Problemas";"12:00";"15:00";"B21";"M101";2;"56IM"
"Lunes";"Física II";"Teoría y Problemas";"16:30";"18:30";"Online";"M101";2;"56IM"
"Martes";"Mecánica";"Laboratorio";"08:30";"09:30";"B21";"M101";2;"56IM"
"Martes";"Mecánica";"Teoría y Problemas";"09:30";"11:30";"B21";"M101";2;"56IM"
"Martes";"Ampliación de Matemáticas";"Teoría y Problemas";"12:00";"14:00";"A21+A22, A34";"M101";2;"56IM"
"Miércoles";"Ampliación de Matemáticas";"Teoría y Problemas";"16:30";"18:30";"Online";"M101";2;"56IM"
"Jueves";"Informática";"Teoría y Problemas";"09:30";"11:30";"Online";"M101";2;"56IM"
"Jueves";"Física II";"Teoría y Problemas";"12:00";"14:00";"Online";"M101";2;"56IM"
"Jueves";"Física II";"Laboratorio";"15:30";"19:30";"Presencial";"M101";2;"56IM"
"Viernes";"Métodos Numéricos en Ingeniería Mecánica";"Teoría y Problemas";"10:00";"14:00";"B21, B22";"M101";2;"56IM"
"Viernes";"Métodos Numéricos en Ingeniería Mecánica";"Laboratorio";"10:00";"14:00";"B21, B22";"M101";2;"56IM"
"Viernes";"Estadística";"Teoría y Problemas";"16:30";"18:30";"Online";"M101";2;"56IM"
