"Asignatura";"Titulacion";"Dia";"HoraInicio";"Duracion";"Aula";"Tipo";"HoraFinal";"Grupo";"Semestre"
"Técnicas Avanzadas de Control por Computador";"05BH";"Miércoles";"15:30";"2";NA;"Teoría y Problemas";"17:30";"05BH";2
"Domótica. Entornos Inteligentes";"05BH";"Lunes";"15:30";"2";NA;"Teoría y Problemas";"17:30";"05BH";2
