"Asignatura";"Titulacion";"Dia";"HoraInicio";"Duracion";"Aula";"Tipo";"HoraFinal";"Grupo";"Semestre"
"SPANISH LANGUAGE COURSE";"IS";"Martes";"12:00";"3";NA;"Teoría y Problemas";"15:00";"IS";1
"COMPUTER AIDED MANUFACTURING WORKSHOP";"IS";"Martes";"09:30";"2";NA;"Teoría y Problemas";"11:30";"IS";1
"SPANISH LANGUAGE COURSE";"IS";"Jueves";"12:00";"3";NA;"Teoría y Problemas";"15:00";"IS";1
"INTELLECTUAL CAPITAL AND KNOWLEDGE MANAGEMENT";"IS";"Jueves";"16:00";"2";NA;"Teoría y Problemas";"18:00";"IS";1
"PRACTICAL INTERNET OF THINGS WITH RASPBERRY PI";"IS";"Miércoles";"11:30";"2";NA;"Teoría y Problemas";"13:30";"IS";1
