"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"Álgebra Lineal";"Acciones Cooperativas";"08:30";"09:30";"B22";"E105";1;"56IE"
"Lunes";"Álgebra Lineal";"Laboratorio";"08:30";"09:30";"";"E105";1;"56IE"
"Lunes";"Álgebra Lineal";"Teoría y Problemas";"09:30";"11:30";"B22";"E105";1;"56IE"
"Lunes";"Expresión Gráfica y Diseño Asistido por Ordenador";"Teoría y Problemas";"12:00";"14:00";"Lab EG";"E105";1;"56IE"
"Martes";"Física I";"Teoría y Problemas";"09:30";"11:30";"B22";"E105";1;"56IE"
"Martes";"Cálculo Infinitesimal";"Teoría y Problemas";"12:00";"14:00";"B22";"E105";1;"56IE"
"Martes";"Cálculo Infinitesimal";"Acciones Cooperativas";"12:00";"14:00";"B22";"E105";1;"56IE"
"Martes";"Cálculo Infinitesimal";"Laboratorio";"14:00";"15:00";"";"E105";1;"56IE"
"Martes";"Cálculo Infinitesimal";"Acciones Cooperativas";"14:00";"15:00";"A11+A12";"E105";1;"56IE"
"Miércoles";"Química";"Teoría y Problemas";"08:30";"09:30";"B22";"E105";1;"56IE"
"Miércoles";"Química";"Acciones Cooperativas";"09:30";"11:30";"B22";"E105";1;"56IE"
"Miércoles";"Química";"Laboratorio";"09:30";"11:30";"";"E105";1;"56IE"
"Miércoles";"Álgebra Lineal";"Teoría y Problemas";"12:00";"14:00";"B22";"E105";1;"56IE"
"Jueves";"Expresión Gráfica y Diseño Asistido por Ordenador";"Teoría y Problemas";"09:30";"11:30";"Lab EG";"E105";1;"56IE"
"Jueves";"Física I";"Teoría y Problemas";"12:00";"14:00";"B22";"E105";1;"56IE"
"Jueves";"Física I";"Laboratorio";"15:30";"19:30";"";"E105";1;"56IE"
"Viernes";"Cálculo Infinitesimal";"Teoría y Problemas";"09:30";"11:30";"B22";"E105";1;"56IE"
"Viernes";"Química";"Teoría y Problemas";"12:00";"14:00";"B22";"E105";1;"56IE"
