"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Itinerario";"Grupo";"Semestre";"Titulacion"
"Lunes";"Materiales No Metálicos";"Laboratorio";"09:30";"11:30";"D307";NA;"DM401";1;"56DM"
"Lunes";"Metrología y Calidad";"Laboratorio";"09:30";"11:30";"M406";NA;"DM401";1;"56DM"
"Lunes";"Metrología y Calidad";"Laboratorio";"11:30";"13:00";"M406";NA;"DM401";1;"56DM"
"Lunes";"Ingeniería Térmica";"Laboratorio";"11:30";"13:30";"M306";NA;"DM401";1;"56DM"
"Lunes";"Metrología y Calidad";"Teoría y Problemas";"15:00";"17:00";"M406";NA;"DM401";1;"56DM"
"Lunes";"Ingeniería Térmica";"Teoría y Problemas";"17:30";"19:30";"M306";NA;"DM401";1;"56DM"
"Martes";"Ingeniería de Fabricación";"Teoría y Problemas";"08:30";"09:30";"M401";NA;"DM401";1;"56DM"
"Martes";"Oficina Técnica";"Acciones Cooperativas";"09:30";"11:30";"Mstr4";NA;"DM401";1;"56DM"
"Martes";"Oficina Técnica";"Teoría y Problemas";"12:00";"14:00";"D402";NA;"DM401";1;"56DM"
"Martes";"Electrónica";"Teoría y Problemas";"15:00";"16:00";"D307";NA;"DM401";1;"56DM"
"Martes";"Ingeniería Térmica";"Teoría y Problemas";"17:30";"18:30";"M306";NA;"DM401";1;"56DM"
"Miércoles";"Motores Alternativos";"Laboratorio";"08:30";"09:30";"M401";NA;"DM401";1;"56DM"
"Miércoles";"Motores Alternativos";"Teoría y Problemas";"09:30";"11:30";"M401";NA;"DM401";1;"56DM"
"Miércoles";"Ingeniería de Fabricación";"Teoría y Problemas";"12:00";"14:00";"M401";NA;"DM401";1;"56DM"
"Miércoles";"Ingeniería de Fabricación";"Laboratorio";"15:30";"19:30";"M401";NA;"DM401";1;"56DM"
"Jueves";"Motores Alternativos";"Laboratorio";"08:30";"09:30";"M401";NA;"DM401";1;"56DM"
"Jueves";"Motores Alternativos";"Teoría y Problemas";"09:30";"10:30";"M401";NA;"DM401";1;"56DM"
"Jueves";"Diseño Mecánico";"Teoría y Problemas";"10:30";"11:30";"M401";NA;"DM401";1;"56DM"
"Jueves";"Diseño Mecánico";"Laboratorio";"12:00";"14:00";"";NA;"DM401";1;"56DM"
"Jueves";"Electrónica";"Teoría y Problemas";"15:00";"17:00";"D307";NA;"DM401";1;"56DM"
"Viernes";"Electrónica";"Laboratorio";"09:30";"11:30";"D307";NA;"DM401";1;"56DM"
"Viernes";"Diseño Mecánico";"Teoría y Problemas";"12:00";"14:00";"M401";NA;"DM401";1;"56DM"
"Viernes";"Materiales No Metálicos";"Teoría y Problemas";"15:00";"17:00";"D307";NA;"DM401";1;"56DM"
