"Asignatura";"Titulacion";"Dia";"HoraInicio";"Duracion";"Aula";"Codigo";"tipo";"HoraFinal";"Grupo";"Semestre"
"Estrategia Energética en la Industria";"06AH";"Por definir";"0:00";"1";NA;63000210;"Teoría y Problemas";"01:00";"06AH";2
"Mecanismos para la Gestión de la Eficiencia Energética en la Industria";"06AH";"Por definir";"0:00";"1";NA;63000209;"Teoría y Problemas";"01:00";"06AH";2
"Sostenibilidad y Medio Ambiente";"06AH";"Por definir";"0:00";"1";NA;63000212;"Teoría y Problemas";"01:00";"06AH";2
