"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"Automática";"Laboratorio";"09:30";"13:30";"";"A207";2;"56IA"
"Lunes";"Electrónica";"Laboratorio";"09:30";"13:30";"";"A207";2;"56IA"
"Lunes";"Transmisión de Calor";"Teoría y Problemas";"17:30";"18:30";"A21+A22";"A207";2;"56IA"
"Lunes";"Tecnologías de Fabricación";"Teoría y Problemas";"18:30";"19:30";"A21+A22";"A207";2;"56IA"
"Lunes";"Tecnologías de Fabricación";"Acciones Cooperativas";"18:30";"19:30";"A21+A22";"A207";2;"56IA"
"Lunes";"Organización Industrial";"Teoría y Problemas";"15:00";"17:00";"A21+A22";"A207";2;"56IA"
"Lunes";"Organización Industrial";"Teoría y Problemas";"19:30";"20:30";"A21+A22";"A207";2;"56IA"
"Martes";"Mecánica de Fluidos";"Laboratorio";"09:30";"13:30";"";"A207";2;"56IA"
"Martes";"Electrónica";"Teoría y Problemas";"15:00";"17:00";"A21+A22";"A207";2;"56IA"
"Martes";"Máquinas Eléctricas";"Teoría y Problemas";"17:30";"18:30";"A21+A22";"A207";2;"56IA"
"Martes";"Mecánica de Fluidos";"Teoría y Problemas";"18:30";"19:30";"A35";"A207";2;"56IA"
"Miércoles";"Máquinas Eléctricas";"Laboratorio";"09:30";"13:30";"";"A207";2;"56IA"
"Miércoles";"Máquinas Eléctricas";"Teoría y Problemas";"15:00";"17:00";"A21+A22";"A207";2;"56IA"
"Miércoles";"Mecánica de Fluidos";"Teoría y Problemas";"17:30";"19:30";"A35";"A207";2;"56IA"
"Jueves";"Transmisión de Calor";"Laboratorio";"09:30";"13:30";"";"A207";2;"56IA"
"Jueves";"Máquinas Eléctricas";"Laboratorio";"09:30";"13:30";"";"A207";2;"56IA"
"Jueves";"Transmisión de Calor";"Teoría y Problemas";"15:00";"17:00";"A21+A22";"A207";2;"56IA"
"Jueves";"Automática";"Teoría y Problemas";"17:30";"19:30";"A21+A22";"A207";2;"56IA"
"Viernes";"Automática";"Laboratorio";"09:30";"11:30";"";"A207";2;"56IA"
"Viernes";"Tecnologías de Fabricación";"Laboratorio";"11:30";"13:30";"";"A207";2;"56IA"
"Viernes";"Tecnologías de Fabricación";"Teoría y Problemas";"15:00";"17:00";"A21+A22";"A207";2;"56IA"
"Viernes";"Electrónica";"Teoría y Problemas";"17:30";"18:30";"A21+A22";"A207";2;"56IA"
