"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"Economía General y de la Empresa";"Teoría y Problemas";"08:30";"10:30";"A02";"E205";1;"56IE"
"Lunes";"Resistencia de Materiales";"Teoría y Problemas";"10:30";"11:30";"A02";"E205";1;"56IE"
"Lunes";"Resistencia de Materiales";"Teoría y Problemas";"12:00";"13:00";"A02";"E205";1;"56IE"
"Lunes";"Resistencia de Materiales";"Laboratorio";"15:30";"18:30";"A02";"E205";1;"56IE"
"Martes";"Ciencia de Materiales";"Teoría y Problemas";"09:30";"10:30";"A02";"E205";1;"56IE"
"Martes";"Resistencia de Materiales";"Teoría y Problemas";"10:30";"11:30";"A02";"E205";1;"56IE"
"Martes";"English for Professional and Academic Communication";"Teoría y Problemas";"12:00";"14:00";"A02";"E205";1;"56IE"
"Martes";"English for Professional and Academic Communication";"Acciones Cooperativas";"12:00";"14:00";"A02";"E205";1;"56IE"
"Martes";"English for Professional and Academic Communication";"Teoría y Problemas";"15:00";"17:00";"A02";"E205";1;"56IE"
"Martes";"English for Professional and Academic Communication";"Acciones Cooperativas";"15:00";"17:00";"A02";"E205";1;"56IE"
"Miércoles";"Economía General y de la Empresa";"Teoría y Problemas";"08:30";"10:30";"A02";"E205";1;"56IE"
"Miércoles";"Termodinámica";"Teoría y Problemas";"10:30";"11:30";"A02";"E205";1;"56IE"
"Miércoles";"Teoría de Circuitos";"Teoría y Problemas";"12:00";"14:00";"A01";"E205";1;"56IE"
"Miércoles";"Teoría de Circuitos";"Laboratorio";"15:30";"19:30";"";"E205";1;"56IE"
"Jueves";"Teoría de Circuitos";"Teoría y Problemas";"10:30";"11:30";"A01";"E205";1;"56IE"
"Jueves";"Termodinámica";"Teoría y Problemas";"12:00";"14:00";"A02";"E205";1;"56IE"
"Jueves";"Termodinámica";"Laboratorio";"15:30";"19:30";"";"E205";1;"56IE"
"Viernes";"Ciencia de Materiales";"Teoría y Problemas";"12:00";"14:00";"A02";"E205";1;"56IE"
"Viernes";"Ciencia de Materiales";"Laboratorio";"15:30";"20:00";"";"E205";1;"56IE"
