"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"English for Professional and Academic Communication";"Acciones Cooperativas";"15:15";"17:15";"A27";"E407";2;"56IE"
"Lunes";"English for Professional and Academic Communication";"Teoría y Problemas";"15:15";"17:15";"A27";"E407";2;"56IE"
"Lunes";"Comunicación Oral y Escrita";"Teoría y Problemas";"17:45";"19:45";"A27";"E407";2;"56IE"
"Martes";"Ampliación de Física";"Laboratorio";"15:15";"17:15";"A22";"E407";2;"56IE"
"Martes";"Ampliación de Física";"Teoría y Problemas";"17:45";"19:45";"A22";"E407";2;"56IE"
"Miércoles";"Comunicación Oral y Escrita";"Teoría y Problemas";"15:15";"16:15";"A27";"E407";2;"56IE"
"Miércoles";"Ampliación de Física";"Teoría y Problemas";"16:15";"17:15";"A22";"E407";2;"56IE"
"Miércoles";"2º Idioma Extranjero: Francés";"Teoría y Problemas";"17:45";"19:45";"A27";"E407";2;"56IE"
"Miércoles";"2º Idioma Extranjero: Francés";"Acciones Cooperativas";"17:45";"19:45";NA;"E407";2;"56IE"
"Jueves";"2º Idioma Extranjero: Francés";"Laboratorio";"15:15";"17:15";"A27";"E407";2;"56IE"
"Jueves";"English for Professional and Academic Communication";"Laboratorio";"17:45";"19:45";"A27";"E407";2;"56IE"
