"Asignatura";"Titulacion";"Dia";"HoraInicio";"Duracion";"Aula";"Codigo";"tipo";"HoraFinal";"Grupo";"Semestre"
"Biorrefinerias";"05AX";"Por definir";"0:00";"1";NA;53001054;"Teoría y Problemas";"01:00";"05AX";2
"Diseño Avanzado de Sistemas de Energía Solar";"05AX";"Por definir";"0:00";"1";NA;53001047;"Teoría y Problemas";"01:00";"05AX";2
"Sostenibilidad de las Energías Renovables";"05AX";"Por definir";"0:00";"1";NA;53001053;"Teoría y Problemas";"01:00";"05AX";2
