"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Itinerario";"Grupo";"Semestre";"Titulacion"
"Lunes";"Taller de Diseño I";"Acciones Cooperativas";"08:30";"10:30";"D307";NA;"DM306";1;"56DM"
"Lunes";"Teoría de Estructuras";"Teoría y Problemas";"11:30";"13:30";"M301-M306";NA;"DM306";1;"56DM"
"Lunes";"Teoría de Estructuras";"Acciones Cooperativas";"13:30";"14:30";"M301-M306";NA;"DM306";1;"56DM"
"Lunes";"Diseño de Máquinas I";"Laboratorio";"16:00";"18:00";"M301-M306";NA;"DM306";1;"56DM"
"Lunes";"Teoría de Máquinas y Mecanismos";"Laboratorio";"16:00";"18:00";"M301-M306";NA;"DM306";1;"56DM"
"Martes";"Taller de Diseño I";"Teoría y Problemas";"08:30";"09:30";"D307";NA;"DM306";1;"56DM"
"Martes";"Teoría de Máquinas y Mecanismos";"Teoría y Problemas";"09:30";"10:30";"M301-M306";NA;"DM306";1;"56DM"
"Martes";"Ingeniería de Materiales";"Teoría y Problemas";"10:30";"11:30";"M301-M306";NA;"DM306";1;"56DM"
"Martes";"Técnicas de Representación en Diseño Industrial";"Teoría y Problemas";"12:00";"13:00";"D307";NA;"DM306";1;"56DM"
"Martes";"Ingeniería de Materiales";"Laboratorio";"15:00";"17:00";"D307";NA;"DM306";1;"56DM"
"Martes";"Teoría de Estructuras";"Laboratorio";"17:00";"19:00";"M301-M306";NA;"DM306";1;"56DM"
"Miércoles";"Ingeniería de Materiales";"Teoría y Problemas";"09:30";"11:30";"M301-M306";NA;"DM306";1;"56DM"
"Miércoles";"Teoría de Máquinas y Mecanismos";"Teoría y Problemas";"12:00";"14:00";"M301-M306";NA;"DM306";1;"56DM"
"Miércoles";"Técnicas de Representación en Diseño Industrial";"Laboratorio";"15:00";"17:00";"D307";NA;"DM306";1;"56DM"
"Miércoles";"Taller de Diseño I";"Acciones Cooperativas";"17:30";"19:30";"D307";NA;"DM306";1;"56DM"
"Jueves";"Mecánica de Fluidos";"Laboratorio";"08:30";"10:30";"M201-M206";NA;"DM306";1;"56DM"
"Jueves";"Máquinas Eléctricas";"Teoría y Problemas";"10:30";"11:30";"M301-M306";NA;"DM306";1;"56DM"
"Jueves";"Diseño de Máquinas I";"Teoría y Problemas";"12:00";"14:00";"M301-M306";NA;"DM306";1;"56DM"
"Jueves";"Técnicas de Representación en Diseño Industrial";"Laboratorio";"15:00";"17:00";"";NA;"DM306";1;"56DM"
"Jueves";"Mecánica de Fluidos";"Teoría y Problemas";"18:30";"19:30";"M201-M206";NA;"DM306";1;"56DM"
"Viernes";"Máquinas Eléctricas";"Teoría y Problemas";"11:30";"13:30";"M301-M306";NA;"DM306";1;"56DM"
"Viernes";"Máquinas Eléctricas";"Laboratorio";"15:00";"17:00";"M301-M306";NA;"DM306";1;"56DM"
"Viernes";"Mecánica de Fluidos";"Teoría y Problemas";"17:30";"19:30";"M201-M206";NA;"DM306";1;"56DM"
