"Asignatura";"Titulacion";"Dia";"HoraInicio";"Duracion";"Aula";"Tipo";"HoraFinal";"Grupo";"Semestre"
"Stand-Alone Photovoltaic Systems And Microgrids";"09BP";"Por definir";"0:00";"1";NA;"Teoría y Problemas";"01:00";"09BP";2
"Solar Photovoltaic Plant Projecting";"09BP";"Por definir";"0:00";"1";NA;"Teoría y Problemas";"01:00";"09BP";2

