"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Itinerario";"Grupo";"Semestre";"Titulacion"
"Lunes";"Ciencia de Materiales";"Laboratorio";"11:15";"13:45";"";"";"M206";1;"56IM"
"Lunes";"Ciencia de Materiales";"Teoría y Problemas";"15:15";"17:15";"B11";"";"M206";1;"56IM"
"Lunes";"English for Professional and Academic Communication";"Teoría y Problemas";"17:45";"19:45";"A26+A27";"";"M206";1;"56IM"
"Lunes";"English for Professional and Academic Communication";"Acciones Cooperativas";"17:45";"19:45";"A26+A27";"";"M206";1;"56IM"
"Martes";"Resistencia de Materiales";"Laboratorio";"10:45";"13:45";"";"";"M206";1;"56IM"
"Martes";"Resistencia de Materiales";"Teoría y Problemas";"15:15";"17:15";"B11";"";"M206";1;"56IM"
"Martes";"Economía General y de la Empresa";"Teoría y Problemas";"17:45";"19:45";"B11";"";"M206";1;"56IM"
"Miércoles";"English for Professional and Academic Communication";"Teoría y Problemas";"15:15";"17:15";"A26+A27";"";"M206";1;"56IM"
"Miércoles";"English for Professional and Academic Communication";"Acciones Cooperativas";"15:15";"17:15";"A26+A27";"";"M206";1;"56IM"
"Miércoles";"Resistencia de Materiales";"Teoría y Problemas";"17:45";"18:45";"B11";"";"M206";1;"56IM"
"Miércoles";"Ciencia de Materiales";"Teoría y Problemas";"18:45";"19:45";"B11";"";"M206";1;"56IM"
"Jueves";"Mecánica de Fluidos";"Laboratorio";"09:45";"13:45";"";"";"M206";1;"56IM"
"Jueves";"Economía General y de la Empresa";"Teoría y Problemas";"15:15";"17:15";"B11";"";"M206";1;"56IM"
"Jueves";"Termodinámica";"Teoría y Problemas";"17:45";"18:45";"B11";"";"M206";1;"56IM"
"Jueves";"Mecánica de Fluidos";"Teoría y Problemas";"18:45";"19:45";"B11";"";"M206";1;"56IM"
"Viernes";"Termodinámica";"Laboratorio";"09:45";"13:45";"";"";"M206";1;"56IM"
"Viernes";"Termodinámica";"Teoría y Problemas";"15:15";"17:15";"B11";"";"M206";1;"56IM"
"Viernes";"Mecánica de Fluidos";"Teoría y Problemas";"17:45";"19:45";"B11";"";"M206";1;"56IM"
