"Asignatura";"Titulacion";"Dia";"HoraInicio";"Duracion";"Aula";"Tipo";"HoraFinal";"Grupo";"Semestre"
"Biomasa";"05AX";"Por definir";"0:00";"1";NA;"Teoría y Problemas";"01:00";"05AX";1
"Energía Solar Térmica y Fotovoltaica";"05AX";"Por definir";"0:00";"1";NA;"Teoría y Problemas";"01:00";"05AX";1
