"Asignatura";"Titulacion";"Dia";"HoraInicio";"Duracion";"Aula";"Tipo";"HoraFinal";"Grupo";"Semestre"
"Simulation And Optimization Software For Photovoltaic Systems";"09BP";"Lunes";"19:00";"1";NA;"Teoría y Problemas";"20:00";"09BP";1
"Simulation And Optimization Software For Photovoltaic Systems";"09BP";"Martes";"17:00";"1";NA;"Teoría y Problemas";"18:00";"09BP";1
