"Asignatura";"Titulacion";"Dia";"HoraInicio";"Duracion";"Aula";"Tipo";"HoraFinal";"Grupo";"Semestre"
"Energía Solar Térmica de Baja Temperatura";"05BK";"Viernes";"15:30";"2";NA;"Teoría y Problemas";"17:30";"05BK";2
"Energía Fotovoltaica";"05BK";"Lunes";"18:30";"3";NA;"Teoría y Problemas";"21:30";"05BK";2
"Diseño Avanzado de Sistemas Fotovoltaicos";"05BK";"Miércoles";"15:30";"3";NA;"Teoría y Problemas";"18:30";"05BK";2
"Biomasa";"05BK";"Lunes";"15:30";"3";NA;"Teoría y Problemas";"18:30";"05BK";2
"Sostenibilidad de las Energías Renovables";"05BK";"Miércoles";"17:30";"2";NA;"Teoría y Problemas";"19:30";"05BK";2
