"Asignatura";"Titulacion";"Dia";"HoraInicio";"Duracion";"Aula";"Tipo";"HoraFinal";"Grupo";"Semestre"
"Eficiencia Energética Eléctrica e3+";"06AH";"Por definir";"0:00";"1";NA;"Teoría y Problemas";"01:00";"06AH";1
"Eficiencia Energética en Climatización";"06AH";"Por definir";"0:00";"1";NA;"Teoría y Problemas";"01:00";"06AH";1
"Iluminación Eficiente";"06AH";"Por definir";"0:00";"1";NA;"Teoría y Problemas";"01:00";"06AH";1
"Sistemas Eficientes de Multigeneración de Energía";"06AH";"Por definir";"0:00";"1";NA;"Teoría y Problemas";"01:00";"06AH";1
"Sistemas Eficientes de Producción de Energía Eléctrica";"06AH";"Por definir";"0:00";"1";NA;"Teoría y Problemas";"01:00";"06AH";1
"Sistemas Eficientes de Producción de Energía Térmica";"06AH";"Por definir";"0:00";"1";NA;"Teoría y Problemas";"01:00";"06AH";1
