"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"Trabajo Fin de Grado";"Teoría y Problemas";"09:30";"14:00";"";"DM502";2;"56DM"
"Martes";"Trabajo Fin de Grado";"Teoría y Problemas";"09:30";"14:00";"";"DM502";2;"56DM"
"Miércoles";"Trabajo Fin de Grado";"Teoría y Problemas";"09:30";"14:00";"";"DM502";2;"56DM"
"Jueves";"Trabajo Fin de Grado";"Teoría y Problemas";"09:30";"14:00";"";"DM502";2;"56DM"
"Viernes";"Trabajo Fin de Grado";"Teoría y Problemas";"09:30";"14:00";"";"DM502";2;"56DM"
