"Asignatura";"Titulacion";"Dia";"HoraInicio";"Duracion";"Aula";"Tipo";"HoraFinal";"Grupo";"Semestre"
"Guiado y Navegación de Robots";"05BH";"Martes";"17:30";"2";NA;"Teoría y Problemas";"19:30";"05BH";1
"Interacción Humano-Robot";"05BH";"Lunes";"15:30";"2";NA;"Teoría y Problemas";"17:30";"05BH";1
"Matemáticas para Automática y Robótica";"05BH";"Jueves";"17:30";"2";NA;"Teoría y Problemas";"19:30";"05BH";1
