"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"Ampliación de Matemáticas";"Laboratorio";"14:15";"15:15";"D107";"DM107";2;"56DM"
"Lunes";"Ampliación de Matemáticas";"Acciones Cooperativas";"14:15";"15:15";"D107";"DM107";2;"56DM"
"Lunes";"Ampliación de Matemáticas";"Teoría y Problemas";"15:15";"17:15";"D107";"DM107";2;"56DM"
"Lunes";"Física II";"Teoría y Problemas";"17:45";"19:45";"D107";"DM107";2;"56DM"
"Martes";"Estadística";"Teoría y Problemas";"15:15";"17:15";"D107";"DM107";2;"56DM"
"Martes";"Informática";"Teoría y Problemas";"17:45";"19:45";"D107";"DM107";2;"56DM"
"Martes";"Informática";"Laboratorio";"17:45";"19:45";"D107";"DM107";2;"56DM"
"Miércoles";"Métodos Numéricos en Ingeniería Mecánica";"Laboratorio";"10:45";"11:45";"ADI-2";"DM107";2;"56DM"
"Miércoles";"Métodos Numéricos en Ingeniería Mecánica";"Teoría y Problemas";"11:45";"13:45";"ADI-2";"DM107";2;"56DM"
"Miércoles";"Dibujo Artístico";"Teoría y Problemas";"15:15";"17:15";"D107";"DM107";2;"56DM"
"Miércoles";"Ampliación de Matemáticas";"Teoría y Problemas";"17:45";"19:45";"D107";"DM107";2;"56DM"
"Jueves";"Física II";"Laboratorio";"10:45";"13:45";"D107";"DM107";2;"56DM"
"Jueves";"Física II";"Teoría y Problemas";"15:15";"17:15";"D107";"DM107";2;"56DM"
"Jueves";"Estadística";"Teoría y Problemas";"17:45";"19:45";"D107";"DM107";2;"56DM"
"Jueves";"Estadística";"Acciones Cooperativas";"19:45";"20:45";"D107";"DM107";2;"56DM"
"Jueves";"Estadística";"Laboratorio";"19:45";"20:45";"D107";"DM107";2;"56DM"
"Viernes";"Mecánica";"Laboratorio";"10:45";"11:45";"";"DM107";2;"56DM"
"Viernes";"Mecánica";"Teoría y Problemas";"11:45";"13:45";"Master 1+2";"DM107";2;"56DM"
"Viernes";"Informática";"Laboratorio";"15:15";"17:15";"D107";"DM107";2;"56DM"
"Viernes";"Informática";"Teoría y Problemas";"15:15";"17:15";"D107";"DM107";2;"56DM"
"Viernes";"Dibujo Artístico";"Teoría y Problemas";"17:45";"20:45";"D107";"DM107";2;"56DM"
