"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"Taller de Diseño I";"Teoría y Problemas";"08:30";"09:30";"A10+A11,A25+A26, A21+A22, A23+A24";"D307";1;"56DD"
"Lunes";"Taller de Diseño I";"Acciones Cooperativas";"09:30";"11:30";"A10+A11,A25+A26, A21+A22, A23+A24";"D307";1;"56DD"
"Lunes";"Ingeniería de Materiales";"Teoría y Problemas";"12:00";"14:00";"Online";"D307";1;"56DD"
"Lunes";"Teoría de Máquinas y Mecanismos";"Laboratorio";"16:00";"18:00";"Online";"D307";1;"56DD"
"Lunes";"Materiales No Metálicos";"Laboratorio";"18:30";"20:30";"Presencial en laboratorio";"D307";1;"56DD"
"Martes";"Teoría de Máquinas y Mecanismos";"Teoría y Problemas";"09:30";"10:30";"Online";"D307";1;"56DD"
"Martes";"Técnicas de Representación en Diseño Industrial";"Teoría y Problemas";"12:00";"13:00";"Online";"D307";1;"56DD"
"Martes";"Ingeniería de Materiales";"Teoría y Problemas";"10:30";"11:30";"Online";"D307";1;"56DD"
"Martes";"Electrónica";"Teoría y Problemas";"13:00";"14:00";"Online";"D307";1;"56DD"
"Martes";"Ingeniería de Materiales";"Laboratorio";"15:00";"17:00";"Online";"D307";1;"56DD"
"Martes";"Taller de Diseño I";"Acciones Cooperativas";"17:30";"19:30";"A25+A26";"D307";1;"56DD"
"Miércoles";"Teoría de Máquinas y Mecanismos";"Teoría y Problemas";"09:30";"11:30";"Online";"D307";1;"56DD"
"Miércoles";"Técnicas de Representación en Diseño Industrial";"Laboratorio";"12:00";"14:00";"Online";"D307";1;"56DD"
"Miércoles";"Técnicas de Representación en Diseño Industrial";"Laboratorio";"15:00";"17:00";"Online";"D307";1;"56DD"
"Miércoles";"Técnicas de Representación en Diseño Industrial";"Laboratorio";"17:00";"19:00";"Online";"D307";1;"56DD"
"Jueves";"Máquinas Eléctricas";"Teoría y Problemas";"09:30";"11:30";"Online";"D307";1;"56DD"
"Jueves";"Electrónica";"Teoría y Problemas";"12:00";"14:00";"Online";"D307";1;"56DD"
"Jueves";"Máquinas Eléctricas";"Laboratorio";"15:00";"19:00";"Online";"D307";1;"56DD"
"Viernes";"Materiales No Metálicos";"Teoría y Problemas";"09:30";"11:30";"Online";"D307";1;"56DD"
"Viernes";"Máquinas Eléctricas";"Teoría y Problemas";"12:00";"13:00";"Online";"D307";1;"56DD"
"Viernes";"Electrónica";"Laboratorio";"15:00";"19:00";"Presencial en laboratorio/Online";"D307";1;"56DD"
"Viernes";"Máquinas Eléctricas";"Laboratorio";"15:00";"19:00";"Online";"D307";1;"56DD"
