"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"Álgebra Lineal";"Teoría y Problemas";"15:00";"17:00";"B12";"E100";1;"56IE"
"Lunes";"Expresión Gráfica y Diseño Asistido por Ordenador";"Teoría y Problemas";"17:30";"19:30";"Lab EG";"E100";1;"56IE"
"Martes";"Física I";"Laboratorio";"09:30";"13:30";"";"E100";1;"56IE"
"Martes";"Física I";"Teoría y Problemas";"15:00";"17:00";"B12";"E100";1;"56IE"
"Martes";"Cálculo Infinitesimal";"Teoría y Problemas";"17:30";"19:30";"B12";"E100";1;"56IE"
"Miércoles";"Química";"Acciones Cooperativas";"14:00";"16:00";"B12+A25";"E100";1;"56IE"
"Miércoles";"Química";"Laboratorio";"14:00";"16:00";"";"E100";1;"56IE"
"Miércoles";"Química";"Teoría y Problemas";"16:00";"17:00";"B12";"E100";1;"56IE"
"Miércoles";"Álgebra Lineal";"Teoría y Problemas";"17:30";"19:30";"B12";"E100";1;"56IE"
"Miércoles";"Álgebra Lineal";"Acciones Cooperativas";"19:30";"20:30";"B12";"E100";1;"56IE"
"Miércoles";"Álgebra Lineal";"Laboratorio";"19:30";"20:30";"B12";"E100";1;"56IE"
"Jueves";"Expresión Gráfica y Diseño Asistido por Ordenador";"Teoría y Problemas";"15:00";"17:00";"Lab EG";"E100";1;"56IE"
"Jueves";"Física I";"Teoría y Problemas";"17:30";"19:30";"B12";"E100";1;"56IE"
"Viernes";"Cálculo Infinitesimal";"Acciones Cooperativas";"14:00";"15:00";"A21+A22";"E100";1;"56IE"
"Viernes";"Cálculo Infinitesimal";"Laboratorio";"14:00";"15:00";"";"E100";1;"56IE"
"Viernes";"Cálculo Infinitesimal";"Teoría y Problemas";"15:00";"17:00";"B12";"E100";1;"56IE"
"Viernes";"Cálculo Infinitesimal";"Acciones Cooperativas";"15:00";"17:00";"B12";"E100";1;"56IE"
"Viernes";"Química";"Teoría y Problemas";"17:30";"19:30";"B41";"E100";1;"56IE"
