"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"Teoría de Máquinas y Mecanismos";"Teoría y Problemas";"15:00";"17:00";"A309";"EE309";1;"56EE"
"Martes";"Líneas Subterráneas de Alta Tensión y Centros de Transformación";"Teoría y Problemas";"08:30";"11:30";"E303";"EE309";1;"56EE"
"Martes";"Electrónica Analógica";"Teoría y Problemas";"15:00";"16:00";"A309";"EE309";1;"56EE"
"Martes";"Teoría de Máquinas y Mecanismos";"Teoría y Problemas";"16:00";"17:00";"A309";"EE309";1;"56EE"
"Martes";"Electrónica Digital y Microprocesadores";"Teoría y Problemas";"17:30";"19:30";"A309";"EE309";1;"56EE"
"Martes";"Electrónica Analógica";"Laboratorio";"11:30";"13:30";"A309";"EE309";1;"56EE"
"Miércoles";"Electrónica Digital y Microprocesadores";"Laboratorio";"09:30";"11:30";"A309";"EE309";1;"56EE"
"Miércoles";"Teoría de Circuitos III";"Teoría y Problemas";"12:00";"14:00";"E303";"EE309";1;"56EE"
"Miércoles";"Electrónica Analógica";"Teoría y Problemas";"15:00";"17:00";"A309";"EE309";1;"56EE"
"Miércoles";"Regulación Automática";"Teoría y Problemas";"17:30";"19:30";"A309";"EE309";1;"56EE"
"Jueves";"Teoría de Circuitos III";"Laboratorio";"08:30";"10:30";"E303";"EE309";1;"56EE"
"Jueves";"Teoría de Máquinas y Mecanismos";"Laboratorio";"09:30";"11:30";"A309";"EE309";1;"56EE"
"Jueves";"Teoría de Circuitos III";"Teoría y Problemas";"12:00";"13:00";"E303";"EE309";1;"56EE"
"Jueves";"Regulación Automática";"Teoría y Problemas";"15:00";"17:00";"A309";"EE309";1;"56EE"
"Jueves";"Electrónica Digital y Microprocesadores";"Teoría y Problemas";"17:30";"19:30";"A309";"EE309";1;"56EE"
"Viernes";"Regulación Automática";"Laboratorio";"09:30";"13:30";"A309";"EE309";1;"56EE"
"Viernes";"Electrónica Analógica";"Teoría y Problemas";"15:00";"17:00";"A309";"EE309";1;"56EE"
"Viernes";"Electrónica Digital y Microprocesadores";"Teoría y Problemas";"17:30";"18:30";"A309";"EE309";1;"56EE"
"Viernes";"Líneas Subterráneas de Alta Tensión y Centros de Transformación";"Laboratorio";"18:30";"20:30";"E303";"EE309";1;"56EE"
