"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Itinerario";"Grupo";"Semestre";"Titulacion"
"Lunes";"Diseño de Máquinas II";"Laboratorio";"09:30";"11:30";"";"";"M306";2;"56IM"
"Lunes";"Diseño de Máquinas II";"Teoría y Problemas";"15:00";"16:00";"B31";"";"M306";2;"56IM"
"Lunes";"Ingeniería Estructural";"Teoría y Problemas";"16:00";"17:00";"A01";"B";"M306";2;"56IM"
"Lunes";"Construcciones Industriales";"Teoría y Problemas";"17:30";"19:30";"B31";"";"M306";2;"56IM"
"Martes";"Diseño de Máquinas II";"Teoría y Problemas";"15:00";"17:00";"B31";"";"M306";2;"56IM"
"Martes";"Estructuras Metálicas";"Teoría y Problemas";"17:30";"19:30";"A01";"B";"M306";2;"56IM"
"Martes";"Estructuras Metálicas";"Laboratorio";"19:30";"20:30";"A01";"B";"M306";2;"56IM"
"Miércoles";"Construcciones Industriales";"Laboratorio";"10:00";"11:30";"A15";"";"M306";2;"56IM"
"Miércoles";"Ingeniería Estructural";"Laboratorio";"11:30";"13:30";"";"B";"M306";2;"56IM"
"Miércoles";"Ingeniería Estructural";"Teoría y Problemas";"15:00";"17:00";"A01";"B";"M306";2;"56IM"
"Miércoles";"Automática";"Teoría y Problemas";"17:30";"19:30";"A22";"";"M306";2;"56IM"
"Jueves";"Máquinas y Sistemas Fluidomecánicos";"Laboratorio";"09:30";"13:30";"";"";"M306";2;"56IM"
"Jueves";"Máquinas y Sistemas Fluidomecánicos";"Teoría y Problemas";"15:00";"17:00";"B31";"";"M306";2;"56IM"
"Jueves";"Organización Industrial";"Teoría y Problemas";"17:30";"20:30";"B31";"";"M306";2;"56IM"
"Viernes";"Automática";"Laboratorio";"09:30";"13:30";"";"";"M306";2;"56IM"
"Viernes";"Medio Ambiente";"Teoría y Problemas";"14:30";"17:00";"B31";"";"M306";2;"56IM"
"Viernes";"Máquinas y Sistemas Fluidomecánicos";"Teoría y Problemas";"17:30";"18:30";"B31";"";"M306";2;"56IM"
