"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"Sistemas Electrónicos Industriales";"Laboratorio";"09:45";"13:45";"";"A408";1;"56IA"
"Lunes";"Sistemas Electrónicos Digitales";"Laboratorio";"09:45";"13:45";"";"A408";1;"56IA"
"Lunes";"Sistemas Electrónicos Industriales";"Teoría y Problemas";"15:15";"17:15";"B42";"A408";1;"56IA"
"Lunes";"Sistemas Electrónicos Digitales";"Teoría y Problemas";"17:45";"19:45";"B42";"A408";1;"56IA"
"Martes";"Sistemas Informáticos Industriales";"Laboratorio";"09:45";"13:45";"";"A408";1;"56IA"
"Martes";"Sistemas Electrónicos Industriales";"Laboratorio";"09:45";"13:45";"";"A408";1;"56IA"
"Martes";"Ingeniería de Control";"Laboratorio";"09:45";"13:45";"";"A408";1;"56IA"
"Martes";"Sistemas Informáticos Industriales";"Teoría y Problemas";"15:15";"16:15";"B42";"A408";1;"56IA"
"Martes";"Ingeniería de Control";"Teoría y Problemas";"16:15";"17:15";"B42";"A408";1;"56IA"
"Martes";"Sistemas Electrónicos Industriales";"Teoría y Problemas";"17:45";"18:45";"B42";"A408";1;"56IA"
"Martes";"Sistemas Electrónicos Industriales";"Teoría y Problemas";"17:45";"18:45";"B42";"A408";1;"56IA"
"Martes";"Sistemas Electrónicos Digitales";"Teoría y Problemas";"18:45";"19:45";"B42";"A408";1;"56IA"
"Miércoles";"Sistemas Electrónicos Digitales";"Laboratorio";"09:45";"13:45";"";"A408";1;"56IA"
"Miércoles";"Ingeniería de Control";"Laboratorio";"09:45";"13:45";"";"A408";1;"56IA"
"Miércoles";"Sistemas Electrónicos Digitales";"Teoría y Problemas";"15:15";"17:15";"B42";"A408";1;"56IA"
"Miércoles";"Ingeniería de Control";"Teoría y Problemas";"17:45";"19:45";"B42";"A408";1;"56IA"
"Jueves";"Sistemas Informáticos Industriales";"Laboratorio";"09:45";"13:45";"";"A408";1;"56IA"
"Jueves";"Sistemas Informáticos Industriales";"Teoría y Problemas";"15:15";"17:15";"B42";"A408";1;"56IA"
"Jueves";"Sistemas Electrónicos Industriales";"Teoría y Problemas";"17:45";"19:45";"B42";"A408";1;"56IA"
"Viernes";"Ingeniería de Control";"Teoría y Problemas";"15:15";"17:15";"B42";"A408";1;"56IA"
"Viernes";"Sistemas Informáticos Industriales";"Teoría y Problemas";"17:45";"19:45";"B42";"A408";1;"56IA"
