"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"Física II";"Laboratorio";"10:45";"13:45";"";"A109";2;"56IA"
"Lunes";"Física II";"Teoría y Problemas";"15:15";"17:15";"B32";"A109";2;"56IA"
"Lunes";"Métodos Numéricos en Ingeniería Electrónica";"Teoría y Problemas";"17:45";"19:45";"B32";"A109";2;"56IA"
"Martes";"Informática";"Laboratorio";"11:45";"13:45";"";"A109";2;"56IA"
"Martes";"Informática";"Teoría y Problemas";"15:15";"17:15";"B32";"A109";2;"56IA"
"Martes";"Estadística";"Teoría y Problemas";"17:45";"19:45";"B32";"A109";2;"56IA"
"Martes";"Estadística";"Acciones Cooperativas";"19:45";"20:45";"B32";"A109";2;"56IA"
"Miércoles";"Ampliación de Matemáticas";"Teoría y Problemas";"14:15";"16:15";"B32";"A109";2;"56IA"
"Miércoles";"Ampliación de Matemáticas";"Laboratorio";"16:15";"17:15";"";"A109";2;"56IA"
"Miércoles";"Ampliación de Matemáticas";"Acciones Cooperativas";"16:15";"17:15";"A26+A27";"A109";2;"56IA"
"Miércoles";"Física II";"Teoría y Problemas";"17:45";"19:45";"B32";"A109";2;"56IA"
"Miércoles";"Física II";"Acciones Cooperativas";"17:45";"19:45";"B32";"A109";2;"56IA"
"Jueves";"Métodos Numéricos en Ingeniería Electrónica";"Teoría y Problemas";"14:15";"16:15";"B32";"A109";2;"56IA"
"Jueves";"Métodos Numéricos en Ingeniería Electrónica";"Laboratorio";"16:15";"17:15";"";"A109";2;"56IA"
"Jueves";"Informática";"Teoría y Problemas";"17:45";"19:45";"B32";"A109";2;"56IA"
"Jueves";"Informática";"Laboratorio";"19:45";"20:45";"";"A109";2;"56IA"
"Viernes";"Estadística";"Teoría y Problemas";"15:15";"17:15";"B32";"A109";2;"56IA"
"Viernes";"Ampliación de Matemáticas";"Teoría y Problemas";"17:45";"19:45";"B32";"A109";2;"56IA"
