"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"Teoría de Circuitos II";"Teoría y Problemas";"17:30";"19:30";"B22";"E208";2;"56IE"
"Lunes";"Tecnologías de Fabricación";"Teoría y Problemas";"15:00";"17:00";"B22";"E208";2;"56IE"
"Lunes";"Tecnologías de Fabricación";"Laboratorio";"09:30";"13:30";"";"E208";2;"56IE"
"Martes";"Transmisión de Calor";"Teoría y Problemas";"18:30";"19:30";"B22";"E208";2;"56IE"
"Martes";"Tecnologías de Fabricación";"Acciones Cooperativas";"17:30";"18:30";"B22";"E208";2;"56IE"
"Martes";"Tecnologías de Fabricación";"Teoría y Problemas";"17:30";"18:30";"B22";"E208";2;"56IE"
"Martes";"Medio Ambiente";"Teoría y Problemas";"14:30";"17:00";"B22";"E208";2;"56IE"
"Martes";"Teoría de Circuitos II";"Laboratorio";"09:30";"13:30";"";"E208";2;"56IE"
"Miércoles";"Electrónica";"Teoría y Problemas";"18:30";"19:30";"B22";"E208";2;"56IE"
"Miércoles";"Máquinas Eléctricas";"Teoría y Problemas";"17:30";"18:30";"B22";"E208";2;"56IE"
"Miércoles";"Teoría de Circuitos II";"Teoría y Problemas";"15:00";"17:00";"B22";"E208";2;"56IE"
"Miércoles";"Automática";"Laboratorio";"09:30";"13:30";"";"E208";2;"56IE"
"Miércoles";"Electrónica";"Laboratorio";"09:30";"13:30";"";"E208";2;"56IE"
"Jueves";"Electrónica";"Teoría y Problemas";"17:30";"19:30";"B22";"E208";2;"56IE"
"Jueves";"Máquinas Eléctricas";"Teoría y Problemas";"15:00";"17:00";"B22";"E208";2;"56IE"
"Jueves";"Máquinas Eléctricas";"Laboratorio";"09:30";"13:30";"";"E208";2;"56IE"
"Viernes";"Automática";"Teoría y Problemas";"17:30";"19:30";"B22";"E208";2;"56IE"
"Viernes";"Transmisión de Calor";"Teoría y Problemas";"15:00";"17:00";"B22";"E208";2;"56IE"
"Viernes";"Transmisión de Calor";"Laboratorio";"09:30";"13:30";"";"E208";2;"56IE"
