"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Itinerario";"Grupo";"Semestre";"Titulacion"
"Lunes";"Transmisión de Calor";"Laboratorio";"09:45";"13:45";"";"";"M206";2;"56IM"
"Lunes";"Transmisión de Calor";"Teoría y Problemas";"15:15";"17:15";"B21";"";"M206";2;"56IM"
"Lunes";"Ingeniería Gráfica";"Teoría y Problemas";"17:45";"19:45";"B21";"";"M206";2;"56IM"
"Martes";"Ingeniería Gráfica";"Laboratorio";"10:45";"11:45";"A25+A26";"";"M206";2;"56IM"
"Martes";"Tecnologías de Fabricación";"Laboratorio";"11:45";"13:45";"";"";"M206";2;"56IM"
"Martes";"Tecnologías de Fabricación";"Teoría y Problemas";"15:15";"17:15";"B21";"";"M206";2;"56IM"
"Martes";"Elasticidad y Resistencia de Materiales";"Teoría y Problemas";"17:45";"19:45";"B21";"";"M206";2;"56IM"
"Miércoles";"Elasticidad y Resistencia de Materiales";"Laboratorio";"09:45";"13:45";"";"";"M206";2;"56IM"
"Miércoles";"Elasticidad y Resistencia de Materiales";"Teoría y Problemas";"15:15";"17:15";"B21";"";"M206";2;"56IM"
"Miércoles";"Transmisión de Calor";"Teoría y Problemas";"17:45";"18:45";"B21";"";"M206";2;"56IM"
"Miércoles";"Tecnologías de Fabricación";"Acciones Cooperativas";"18:45";"19:45";"B21";"";"M206";2;"56IM"
"Miércoles";"Tecnologías de Fabricación";"Teoría y Problemas";"18:45";"19:45";"B21";"";"M206";2;"56IM"
"Jueves";"Teoría de Circuitos";"Laboratorio";"10:15";"14:15";"";"";"M206";2;"56IM"
"Jueves";"Ingeniería Gráfica";"Laboratorio";"15:15";"17:15";"Lab EG1/EG3";"";"M206";2;"56IM"
"Jueves";"Teoría de Circuitos";"Teoría y Problemas";"17:45";"19:45";"B21";"";"M206";2;"56IM"
"Viernes";"Instalaciones Industriales y en Edificios I";"Laboratorio";"10:15";"13:45";"";"B";"M206";2;"56IM"
"Viernes";"Soldadura";"Laboratorio";"10:45";"13:45";"M201";"A";"M206";2;"56IM"
"Viernes";"Soldadura";"Teoría y Problemas";"15:15";"17:15";"M201";"A";"M206";2;"56IM"
"Viernes";"Instalaciones Industriales y en Edificios I";"Teoría y Problemas";"15:15";"17:15";"ADI-1";"B";"M206";2;"56IM"
"Viernes";"Soldadura";"Teoría y Problemas";"17:45";"18:45";"M201";"A";"M206";2;"56IM"
"Viernes";"Instalaciones Industriales y en Edificios I";"Teoría y Problemas";"17:45";"18:45";"ADI-1";"B";"M206";2;"56IM"
"Viernes";"Teoría de Circuitos";"Teoría y Problemas";"18:45";"19:45";"B21";"";"M206";2;"56IM"
